"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2021-Q4","T4-2021",243.872,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022-Q1","T1-2022",237.911,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022-Q2","T2-2022",265.354,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022-Q3","T3-2022",271.082,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2022-Q4","T4-2022",273.364,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",264.069,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",277.986,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",278.654,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",272.759,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2018","2018",569.468,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2018-Q2","T2-2018",578.163,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2018-Q1","T1-2018",568.342,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2018-Q4","T4-2018",562.081,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2018-Q3","T3-2018",569.287,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019","2019",604.747,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019-Q1","T1-2019",583.33,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019-Q2","T2-2019",622.086,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019-Q4","T4-2019",603.366,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019-Q3","T3-2019",610.207,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020","2020",548.254,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020-Q2","T2-2020",526.518,,
