"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"ITF4","Puglia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",3975528,,
"ITF4","Puglia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",3953305,,
"ITF4","Puglia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",3933777,,
"ITF4","Puglia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",3922941,,
"ITF4","Puglia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",3907683,,
"ITF4","Puglia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",3890661,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",558587,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",553254,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",545130,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",541168,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",537577,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",533233,,
"ITF6","Calabria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",1912021,,
"ITF6","Calabria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",1894110,,
"ITF6","Calabria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1860601,,
"ITF6","Calabria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",1855454,,
"ITF6","Calabria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",1846610,,
"ITF6","Calabria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",1838568,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",4908548,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",4875290,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",4833705,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",4833329,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",4814016,,
"ITG1","Sicilia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",4797359,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",1622257,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",1611621,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1590044,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",1587413,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",1578146,,
"ITG2","Sardegna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",1570453,,
