country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Bonaire Sint Eustatius and Saba,2022,BES,27052.0,,0.0,0.0,0.11,0.001,0.921,,,,,,,4.083,,,0.0,0.0,,,,0.0,8.275,,0.0,0.0,0.0,,8.275,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.11,4.083,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.001,,0.0,,0.0,0.0,,,,,
Bosnia and Herzegovina,2022,BIH,3233530.0,47069138944.0,0.42,0.13,19.736,-0.202,-1.014,21.367,0.06,0.284,6.608,0.454,,6.103,0.419,,14.656,4.533,,,,12.214,1002.251,1819.894,792.699,0.331,24.992,1137.835,172.016,,,,0.0,0.0,0.431,0.133,,,1.631,0.504,,,,,4.229,1.308,,,,0.026,0.053,0.052,0.096,0.026,0.057,0.071,0.097,0.002,0.01,0.142,0.028,,0.0,0.006,0.038,0.036,,0.058,0.0,0.001,0.001,0.0,,,,
Botswana,2022,BWA,2630300.0,39293968384.0,0.0,0.0,7.467,1.331,21.688,5.237,1.243,31.135,1.991,0.133,,2.839,0.19,,4.684,1.781,,,,0.237,162.867,258.906,95.336,0.0,0.004,256.508,67.29,,,,0.0,0.0,0.0,0.0,,,-2.23,-0.848,,,,,2.783,1.058,,,,0.0,0.02,0.013,0.031,0.001,0.009,0.01,0.012,0.0,0.0,0.032,0.011,,0.0,0.0,-0.052,0.023,,0.044,0.0,0.0,0.001,0.0,,,,
Brazil,2022,BRA,215313504.0,3187413090304.0,23.619,0.11,483.477,-13.729,-2.761,1596.469,-59.297,-3.581,7.415,0.501,0.428,2.245,0.152,0.13,56.21,0.261,,,,822.539,17176.787,132783.469,2544.488,472.677,1387.833,119764.68,11773.22,176.029,17333.797,1.171,17.505,0.081,59.788,0.278,,,1112.991,5.169,,,,,319.964,1.486,0.03,6.392,3732.201,1.471,1.301,3.851,0.369,1.763,0.969,5.166,0.311,2.44,0.53,14.933,1.912,1.762,4.404,0.772,25.824,2.694,2.122,4.995,0.025,0.054,0.082,0.003,,,,
British Virgin Islands,2022,VGB,31332.0,,0.0,0.0,0.157,0.001,0.922,,,,,,,5.004,,,0.0,0.0,,,,0.0,5.812,,0.0,0.0,0.0,,5.812,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.157,5.004,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
Brunei,2022,BRN,449002.0,,0.0,0.0,10.754,-0.548,-4.85,12.025,-0.556,-4.417,26.781,,,23.95,,,2.173,4.841,,,,0.0,401.404,511.126,7.108,80.692,214.28,109.723,99.324,,,,0.171,0.381,4.95,11.025,,,1.271,2.831,,,,,3.459,7.703,,,,0.0,0.029,0.029,0.014,0.0,0.023,0.02,0.001,0.416,0.082,0.014,0.016,,0.043,0.064,0.029,0.029,,0.031,0.0,0.0,0.0,0.0,,,,
Bulgaria,2022,BGR,6781955.0,138390159360.0,1.051,0.155,46.147,3.866,9.142,41.168,4.097,11.053,6.07,0.297,0.179,6.804,0.333,0.201,24.062,3.548,,,,106.803,3916.704,4973.635,2192.001,10.46,347.674,1207.15,1230.598,29.168,33836.168,1.658,0.563,0.083,5.135,0.757,,,-4.98,-0.734,,,,,14.023,2.068,0.194,1.313,229.475,0.065,0.124,0.099,0.158,0.229,0.221,0.194,0.268,0.054,0.133,0.151,0.2,0.292,0.142,0.066,-0.116,0.118,0.436,0.16,0.0,0.002,0.003,0.0,,,,
Burkina Faso,2022,BFA,22673764.0,37320441856.0,1.178,0.052,5.962,0.083,1.419,4.145,-0.351,-7.8,0.183,0.111,,0.263,0.16,,0.0,0.0,,,,8.706,80.824,1026.34,0.005,0.0,0.0,1136.156,72.114,,,,0.0,0.0,0.0,0.0,,,-1.817,-0.08,,,,,4.784,0.211,,,,0.073,0.016,0.01,0.0,0.019,0.005,0.04,0.0,0.0,0.0,0.142,0.012,,0.0,0.0,-0.042,0.04,,0.091,0.001,0.001,0.001,0.0,,,,
Burundi,2022,BDI,12889583.0,9177076736.0,0.003,0.0,0.798,-0.002,-0.194,2.721,-0.147,-5.116,0.211,0.297,,0.062,0.087,,0.03,0.002,,,,0.008,14.542,328.089,0.757,0.0,0.0,604.655,13.777,,,,0.0,0.0,0.0,0.0,,,1.923,0.149,,,,,0.766,0.059,,,,0.0,0.002,0.007,0.0,0.0,0.001,0.013,0.0,0.0,0.0,0.075,0.002,,0.0,0.0,0.045,0.006,,0.031,0.0,0.0,0.001,0.0,,,,
Cambodia,2022,KHM,16767851.0,65136594944.0,5.887,0.351,19.955,-0.175,-0.871,48.548,-1.066,-2.148,2.895,0.745,,1.19,0.306,,4.451,0.265,,,,33.662,207.148,3124.693,31.992,0.024,0.0,4849.805,141.47,,,,0.0,0.0,0.0,0.0,,,28.593,1.705,,,,,9.617,0.574,,,,0.367,0.054,0.117,0.029,0.072,0.012,0.122,0.004,0.0,0.0,0.605,0.023,,0.0,0.0,0.663,0.081,,0.151,0.001,0.001,0.002,0.0,,,,
